train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
59.135,62.825,0.7496770535469055,0.7813517246246338,cnn_4cls_128dim_0.5,1
69.23,72.875,0.5471092445373535,0.594493269443512,cnn_4cls_128dim_0.5,2
73.225,69.575,0.4807821487426758,0.6575851697921753,cnn_4cls_128dim_0.5,3
76.115,76.05,0.4393923641204834,0.5259361763000489,cnn_4cls_128dim_0.5,4
78.66,78.975,0.39991305961608886,0.4858482713699341,cnn_4cls_128dim_0.5,5
80.895,79.1,0.3670522691726685,0.49359114217758177,cnn_4cls_128dim_0.5,6
81.94,79.925,0.3477239688873291,0.47526122188568115,cnn_4cls_128dim_0.5,7
84.125,79.9,0.3178238428115845,0.4766423244476318,cnn_4cls_128dim_0.5,8
85.155,81.95,0.2946791320800781,0.42974023151397706,cnn_4cls_128dim_0.5,9
86.48,82.45,0.27773806476593016,0.4172758846282959,cnn_4cls_128dim_0.5,10
87.485,82.55,0.2557209461927414,0.42349451208114625,cnn_4cls_128dim_0.5,11
88.725,82.025,0.2398908504962921,0.442788290977478,cnn_4cls_128dim_0.5,12
