train_accuracy,test_accuracy,train_loss,test_loss,model,epochs
56.95,65.65,1.343242924118042,0.7507127041816711,cnn_4cls_128dim_1.5,1
67.92,72.6,1.0507269428253174,0.5939275755882263,cnn_4cls_128dim_1.5,2
71.16,73.7,0.9494153966903687,0.5922845916748047,cnn_4cls_128dim_1.5,3
74.08,77.85,0.8575657527923584,0.4995141394138336,cnn_4cls_128dim_1.5,4
75.575,78.675,0.8173063552856445,0.49685516357421877,cnn_4cls_128dim_1.5,5
76.8,79.75,0.7772687644958496,0.46415667963027957,cnn_4cls_128dim_1.5,6
78.02,80.525,0.7442383249282837,0.45378526592254637,cnn_4cls_128dim_1.5,7
78.58,79.825,0.7314421516418457,0.48166955780982973,cnn_4cls_128dim_1.5,8
80.175,81.75,0.7015817464828491,0.4185264983177185,cnn_4cls_128dim_1.5,9
80.58,79.825,0.6864047474861145,0.45122188663482665,cnn_4cls_128dim_1.5,10
81.125,82.5,0.6704442836761475,0.4197502861022949,cnn_4cls_128dim_1.5,11
82.18,82.975,0.6525969516754151,0.3941084589958191,cnn_4cls_128dim_1.5,12
